t,epsilon_fraction,meanop_D_temporal_seedmean,meanop_D_temporal_seedmin,meanop_D_temporal_seedmax,meanop_R_temporal_seedmean,meanop_R_temporal_seedmin,meanop_R_temporal_seedmax,meanop_cos_temporal_seedmean,meanop_cos_temporal_seedmin,meanop_cos_temporal_seedmax,meanop_R_cross_time_radius_seedmean,meanop_R_cross_time_radius_seedmin,meanop_R_cross_time_radius_seedmax,meanop_cos_cross_time_radius_seedmean,meanop_cos_cross_time_radius_seedmin,meanop_cos_cross_time_radius_seedmax,meanop_R_same_time_radius_seedmean,meanop_R_same_time_radius_seedmin,meanop_R_same_time_radius_seedmax,meanop_cos_same_time_radius_seedmean,meanop_cos_same_time_radius_seedmin,meanop_cos_same_time_radius_seedmax,pair_R_cross_minus_same_seedmean,pair_R_cross_minus_same_seedmin,pair_R_cross_minus_same_seedmax,pair_cos_same_minus_cross_seedmean,pair_cos_same_minus_cross_seedmin,pair_cos_same_minus_cross_seedmax,native_response_norm_pair_mean_seedmean,native_response_norm_pair_mean_seedmin,native_response_norm_pair_mean_seedmax,convergence_rel_half_mean_seedmean,convergence_rel_half_mean_seedmin,convergence_rel_half_mean_seedmax,convergence_rel_double_mean_seedmean,convergence_rel_double_mean_seedmin,convergence_rel_double_mean_seedmax,stable_all_seeds,geometric_cell_all_seeds
0,0.001,0.7177429993947347,0.5831124782562256,0.8082854747772217,0.2729949355125427,0.22871914505958557,0.31867679953575134,0.9855722983678182,0.9815866947174072,0.9885486364364624,0.2523736506700516,0.17922945320606232,0.3001912236213684,0.97460009654363,0.9649345278739929,0.9882713556289673,0.014083778485655785,0.009966742247343063,0.02041473798453808,0.9999072949091593,0.9998381733894348,0.9999511241912842,0.06160833314061165,0.047810714691877365,0.06893585622310638,0.04686766862869263,0.0383642315864563,0.05305904150009155,3.4462366104125977,3.2287685871124268,3.6472537517547607,0.00018381746000765511,0.00017991535423789173,0.00018589833052828908,8.960398069272439e-05,8.508245809935033e-05,9.735903586260974e-05,True,False
1,0.001,0.3297366847594579,0.18919740617275238,0.5322303175926208,0.13537088284889856,0.07863799482584,0.2240476757287979,0.9910924434661865,0.9799060225486755,0.997800886631012,0.16725542147954306,0.12841343879699707,0.23385469615459442,0.9873422185579935,0.9739294052124023,0.9948927164077759,0.01741479306171338,0.014811431057751179,0.022426363080739975,0.9998460412025452,0.9997590184211731,0.9998912811279297,0.014548325600723425,-0.015840718522667885,0.05049046874046326,0.005976657072703044,-0.019788086414337158,0.03520280122756958,3.1708881855010986,2.995288372039795,3.3162519931793213,0.00021163610896716514,0.00020109380420763046,0.00022168367286212742,0.00010320299043087289,9.87763050943613e-05,0.00010619302338454872,True,False
2,0.001,0.2887039581934611,0.23212993144989014,0.39038148522377014,0.12176154305537541,0.09151177853345871,0.17136931419372559,0.9920807878176371,0.9855316877365112,0.995867133140564,0.10593507687250774,0.07269442826509476,0.14224812388420105,0.9939934412638346,0.9898859858512878,0.9973844289779663,0.017587206947306793,0.013105102814733982,0.022618146613240242,0.9998391469319662,0.9997448325157166,0.9999164938926697,0.03649694782992204,0.030272720381617546,0.040573980659246445,0.025650382041931152,0.01969212293624878,0.03068488836288452,3.1232985655466714,2.9471468925476074,3.268932819366455,0.0002205212319192166,0.00021070468937978148,0.00022994553728494793,0.000107043704095607,0.00010236506204819307,0.0001115425257012248,True,False
3,0.001,0.2735800544420878,0.2111319899559021,0.3537955582141876,0.11631549646457036,0.08898869156837463,0.15890565514564514,0.9929997523625692,0.9878547787666321,0.9960833787918091,0.11982971429824829,0.07650016248226166,0.18011339008808136,0.9918885827064514,0.9838022589683533,0.9970864057540894,0.018243822269141674,0.015209813602268696,0.0208041500300169,0.9998331268628439,0.9997895359992981,0.9998846650123596,0.0445773359388113,0.02374647930264473,0.08471202850341797,0.03148661057154337,0.014287412166595459,0.06126207113265991,3.082347551981608,2.9610955715179443,3.2541260719299316,0.0002303325163666159,0.000216928543522954,0.0002462443080730736,0.00011209744601122414,0.00010603640112094581,0.00011524324509082362,True,False
4,0.001,0.2661172499259313,0.19991908967494965,0.3342467248439789,0.11176079014937083,0.08436231315135956,0.1472715586423874,0.9934374888737997,0.9892209768295288,0.9964538216590881,0.11740454037984212,0.0771852508187294,0.16295327246189117,0.9928055206934611,0.9872233867645264,0.9970220923423767,0.01647122421612342,0.01087209489196539,0.0246858149766922,0.9998533725738525,0.99970942735672,0.9999451637268066,0.03654340095818043,0.010638127103447914,0.06167662516236305,0.02482338746388753,0.00827401876449585,0.04410362243652344,3.1448346773783364,2.950080394744873,3.311439037322998,0.00023186531810400388,0.00021706866391468793,0.0002463524288032204,0.0001127042463243318,0.00010809301602421328,0.00011610299407038838,True,False
5,0.001,0.27023033301035565,0.16474923491477966,0.37552815675735474,0.1155847857395808,0.06975454837083817,0.17110975086688995,0.9931249221165975,0.9873815178871155,0.9975889325141907,0.11100550989309947,0.06424852460622787,0.1661035269498825,0.9932973186175028,0.9868265986442566,0.9979395866394043,0.016722962260246277,0.016384731978178024,0.01695314608514309,0.9998620549837748,0.9998562932014465,0.9998692870140076,0.03796999901533127,0.02448304183781147,0.06270287185907364,0.027640779813130695,0.016251862049102783,0.046704113483428955,3.1056087017059326,2.9622857570648193,3.3448853492736816,0.00023442954504086325,0.00022173134493641555,0.00025043636560440063,0.00011447048260985564,0.00010766101331682876,0.00011861821985803545,True,False
6,0.001,0.24223671356836954,0.1430743932723999,0.3143092691898346,0.10175948590040207,0.06077872961759567,0.1363493651151657,0.9947671095530192,0.9909641146659851,0.9983080625534058,0.12733801951011023,0.06833261251449585,0.20387010276317596,0.9913695653279623,0.9823157787322998,0.9976692795753479,0.01373268198221922,0.012438037432730198,0.015104045160114765,0.9999077518781027,0.999890148639679,0.9999226927757263,0.020020874527593453,0.008343377150595188,0.04265952855348587,0.014114201068878174,0.0034332275390625,0.03413569927215576,3.1313236554463706,2.951719045639038,3.232856512069702,0.00023577280323176333,0.00022262534184847027,0.000251776073127985,0.00011469741730252281,0.00010801763710333034,0.00011864987027365714,True,False
7,0.001,0.2661347836256027,0.1472097784280777,0.39059144258499146,0.11472930510838826,0.06272619962692261,0.17722272872924805,0.993003229300181,0.9848431348800659,0.9981635212898254,0.10462023814519246,0.051735252141952515,0.1698455959558487,0.9934902588526408,0.9859132170677185,0.9987302422523499,0.02030195730427901,0.018871070817112923,0.022988082841038704,0.9997955163319906,0.999736487865448,0.9998252391815186,0.010284090104202429,-0.004261426627635956,0.027155067771673203,0.004960874716440837,-0.004006028175354004,0.014916658401489258,3.087593158086141,2.962435245513916,3.2148144245147705,0.0002373342188851287,0.0002272426208946854,0.0002476335212122649,0.00011544098136558507,0.00010997866047546268,0.00012071063974872231,True,False
8,0.001,0.26008594036102295,0.14234659075737,0.35909733176231384,0.11006721605857213,0.060796305537223816,0.15728546679019928,0.9937843084335327,0.9884850382804871,0.9985929131507874,0.11086896061897278,0.06629678606987,0.1705576777458191,0.9937756856282552,0.9879816770553589,0.9978570342063904,0.019167424800495308,0.015216895379126072,0.022321734577417374,0.9998251795768738,0.9997589588165283,0.9998858571052551,0.02389245169858138,0.01592729240655899,0.03334932029247284,0.017375866572062176,0.011388123035430908,0.026146769523620605,3.126124540964762,2.953150987625122,3.2171053886413574,0.00023978483416916183,0.0002269402757519856,0.000256963015999645,0.00011677540654394154,0.00010939931962639093,0.00012105463247280568,True,False
9,0.001,0.2667480359474818,0.15245883166790009,0.3810347616672516,0.11421038458744685,0.06538131833076477,0.17173615097999573,0.9928390582402548,0.9858589172363281,0.9981512427330017,0.0990871066848437,0.07299661636352539,0.1328526884317398,0.9949038426081339,0.9914121627807617,0.9974042773246765,0.023170010497172672,0.014176016673445702,0.03011973947286606,0.999726414680481,0.9995942115783691,0.9999014735221863,0.024863932902614277,0.011008331552147865,0.04771580919623375,0.018493394056955974,0.007405757904052734,0.03595268726348877,3.1326451301574707,2.962127923965454,3.2987730503082275,0.00023761341193070015,0.0002296397287864238,0.000248757132794708,0.00011586953041842207,0.00010911405115621164,0.00012250564759597182,True,False
