epoch,val_h0,val_h12,C_terminal_mean_log_survival,G_terminal_relation_selectivity,reversal_fraction_overall,path_efficiency_mean,ridge_h0,ridge_h12,ridge_first_direction,ridge_final_direction,ridge_integrated_direction
0,0.0664,0.06465,-6.768089294433594,0.0180722214281559,0.16416363636363637,0.5237994194030762,0.178825,0.068625,0.1783,0.117825,0.163975
1,0.09315,0.0621,-7.259542465209961,0.009688261896371841,0.13905454545454546,0.6029267311096191,0.1793,0.096875,0.1575,0.12035,0.1448
2,0.1266,0.10819999999999999,-0.06545379757881165,0.009378123097121716,0.05334545454545454,0.2122458964586258,0.17075,0.118425,0.1582,0.11765,0.14945
5,0.16385,0.11985,-0.21571603417396545,0.006361879874020815,0.08114545454545455,0.23345480859279633,0.183,0.117675,0.178825,0.11885,0.173925
10,0.20495000000000002,0.11660000000000001,-0.4465515911579132,0.033276863396167755,0.08307272727272727,0.23769943416118622,0.2121,0.1153,0.2049,0.116125,0.200575
20,0.265,0.1142,-0.8190515637397766,0.12452412396669388,0.0825090909090909,0.24107490479946136,0.27875,0.115575,0.268825,0.11315,0.259475
40,0.41369999999999996,0.1163,-0.8326505422592163,0.2700318992137909,0.07087272727272727,0.22395990788936615,0.41275,0.117225,0.403375,0.1137,0.365
60,0.49829999999999997,0.1517,-0.624087929725647,0.5651187300682068,0.05063636363636364,0.18226070702075958,0.45355,0.14895,0.4157,0.142875,0.380825
80,0.56645,0.17435,-0.577907919883728,0.682966947555542,0.03556363636363637,0.17738766968250275,0.474375,0.1644,0.423125,0.151975,0.36435
100,0.6419,0.19735,-0.6461583375930786,0.8280121684074402,0.03950909090909091,0.16181612014770508,0.477075,0.167625,0.418125,0.158425,0.348375
