condition,epoch,h0,h12,combined,G,C,winner_relation
J,0,0.065,0.06495000000000001,0.064975,0.017711646854877472,-10.025861740112305,3
J,2,0.13995,0.06509999999999999,0.10252499999999999,0.0200898926705122,-7.831800937652588,1
J,10,0.18564999999999998,0.1132,0.14942499999999997,0.019027987495064735,-0.5860953330993652,3
J,20,0.24035,0.11695,0.17865,0.10690421611070633,-0.8229432106018066,2
J,40,0.4311,0.13685,0.283975,0.2944474220275879,-0.6391569375991821,2
J,60,0.5024,0.1598,0.33109999999999995,0.42268192768096924,-0.4077836275100708,7
J,100,0.6923,0.21234999999999998,0.452325,0.7458197474479675,-0.48840034008026123,7
H0,0,0.065,0.06495000000000001,0.064975,0.017711646854877472,-10.025861740112305,3
H0,2,0.1399,0.06520000000000001,0.10255,0.011044027283787727,-10.079869270324707,6
H0,10,0.18930000000000002,0.0645,0.1269,0.020073702558875084,-10.024508476257324,0
H0,20,0.28180000000000005,0.0608,0.17130000000000004,0.05464328080415726,-9.968454360961914,6
H0,40,0.4415,0.05995,0.250725,0.06662898510694504,-10.037727355957031,5
H0,60,0.51905,0.05860000000000001,0.288825,0.05581890046596527,-10.035909652709961,5
H0,100,0.6958,0.0561,0.37595,0.06178000941872597,-10.033783912658691,5
HT,0,0.065,0.06495000000000001,0.064975,0.017711646854877472,-10.025861740112305,3
HT,2,0.07214999999999999,0.08729999999999999,0.07972499999999999,0.03944465517997742,-0.567833423614502,0
HT,10,0.06625,0.1158,0.091025,0.009256990626454353,1.4154186248779297,3
HT,20,0.0683,0.12070000000000002,0.0945,0.10521910339593887,1.2990285158157349,0
HT,40,0.06634999999999999,0.19179999999999997,0.129075,0.21555764973163605,1.2301037311553955,5
HT,60,0.06265,0.2022,0.132425,0.13728784024715424,1.4013886451721191,5
HT,100,0.060050000000000006,0.20934999999999998,0.1347,0.07409559935331345,1.449462890625,5
FF,0,0.065,0.06495000000000001,0.064975,0.017711646854877472,-10.025861740112305,3
FF,2,0.13995,0.06505,0.1025,0.011061789467930794,-10.079712867736816,6
FF,10,0.18919999999999998,0.06615,0.12767499999999998,0.019932197406888008,-10.023757934570312,0
FF,20,0.28154999999999997,0.06405,0.17279999999999998,0.05461330711841583,-9.96786880493164,6
FF,40,0.4414,0.06505,0.25322500000000003,0.06655824184417725,-10.037189483642578,5
FF,60,0.51915,0.06735000000000001,0.29325,0.055625203996896744,-10.035174369812012,5
FF,100,0.6958500000000001,0.068,0.38192500000000007,0.061497606337070465,-10.032835006713867,5
EF,0,0.065,0.06495000000000001,0.064975,0.017711646854877472,-10.025861740112305,3
EF,2,0.072,0.06509999999999999,0.06855,0.016095388680696487,-9.301743507385254,2
EF,10,0.08365,0.06715,0.0754,0.008130724541842937,-8.46290397644043,3
EF,20,0.0985,0.06405,0.081275,0.019397402182221413,-5.848644256591797,0
EF,40,0.11265,0.1056,0.109125,0.016253605484962463,4.2833757400512695,4
EF,60,0.11905,0.1105,0.114775,0.00987602211534977,4.221336364746094,4
EF,100,0.13115,0.1118,0.121475,0.013215743936598301,4.204645156860352,4
