condition,epoch,h0,h12,combined,G,winner,synergy_winner,gradient_winner
B,0,0.06545,0.0656,0.065525,0.011406082659959793,4,0,6
B,1,0.09705,0.062,0.079525,0.009562025777995586,5,5,5
B,2,0.12580000000000002,0.0758,0.10080000000000001,0.02355027198791504,5,5,1
B,5,0.18025,0.12005,0.15015,0.009152143262326717,6,6,6
B,10,0.20884999999999998,0.12175,0.1653,0.01579608954489231,3,6,2
B,15,0.22,0.11979999999999999,0.1699,0.022419743239879608,4,4,3
B,20,0.23809999999999998,0.1238,0.18095,0.0331772156059742,3,4,4
B,25,0.2831,0.13870000000000002,0.21090000000000003,0.05355740338563919,3,5,4
B,30,0.34245000000000003,0.13979999999999998,0.241125,0.07685703784227371,5,5,2
B,35,0.3834,0.14095,0.262175,0.07699772715568542,5,5,4
B,40,0.41775,0.144,0.280875,0.08230587095022202,5,5,5
B,45,0.44129999999999997,0.15050000000000002,0.2959,0.14784860610961914,4,4,4
B,50,0.46095,0.15494999999999998,0.30795,0.2550371587276459,4,4,4
B,60,0.5015000000000001,0.16764999999999997,0.334575,0.498722642660141,0,0,4
B,80,0.57775,0.2134,0.395575,0.7361466288566589,4,4,4
B,100,0.6493,0.23850000000000002,0.4439,0.798032283782959,0,4,0
O,0,0.06545,0.0656,0.065525,0.011406082659959793,4,0,6
O,1,0.09775,0.06175,0.07975,0.0072825076058506966,5,5,0
O,2,0.1264,0.08959999999999999,0.108,0.015883097425103188,6,6,5
O,5,0.17695,0.11015,0.14355,0.011944294907152653,7,7,6
O,10,0.20800000000000002,0.11019999999999999,0.15910000000000002,0.02812103182077408,7,7,4
O,15,0.2167,0.11465,0.16567500000000002,0.045549359172582626,7,7,4
O,20,0.238,0.12065000000000001,0.179325,0.09934870153665543,7,7,5
O,25,0.2807,0.13575,0.208225,0.1141287162899971,7,1,4
O,30,0.33594999999999997,0.13745,0.23669999999999997,0.11870178580284119,7,1,7
O,35,0.37575,0.1438,0.259775,0.12166585773229599,7,1,4
O,40,0.41425,0.15405000000000002,0.28415,0.21248970925807953,7,7,2
O,45,0.43785,0.16775,0.3028,0.32200169563293457,7,7,2
O,50,0.45325,0.1758,0.314525,0.3611237704753876,7,7,2
O,60,0.4858,0.18425,0.335025,0.3922364115715027,7,7,7
O,80,0.5537000000000001,0.19505,0.374375,0.44161587953567505,7,7,7
O,100,0.6256999999999999,0.21,0.41784999999999994,0.547560453414917,7,7,7
